Record_number,Biome2,Ecosystem_type2,altitude,SOC_stock,Study_midyear,YearsOfData,Lat,Lon,Site,Latitude,Longitude,Site2,Study_number,Elevation,Biome,Ecosystem_state,Ecosystem_type,Leaf_habit,MAT,MAP,Meas_method,Partition_method,Stage,Rs_annual,Rh_annual,Ra_annual,Site.match,Mean.Temp.,delta.Mean.Temp.,Mean.Precip.,delta.Mean.Precip.,Latitude2,Outlier_rh,Outlier_ra
303,Temperate,Grassland,325,88,2004,1,34.75,-97.75,34.75 -97.75,34.98,-97.52,34.98 -97.52,4174,325,Temperate,Natural,Grassland,Deciduous,16.3,914,IRGA,Exclusion,Mature,850,500,350,34.75 -97.75,16.16666667,0.106388889,69.30833333,-126.4333333,34.98,0,0
2263,Temperate,Forest,1353,121,2003,1,36.25,137.25,36.25 137.25,36.13,137.42,36.13 137.42,4018,1420,Temperate,Natural,Deciduous Forest,Deciduous,7.3,2400,IRGA,Exclusion,Mature,772,422,349.716,36.25 137.25,9.925,-0.320833333,142.6416667,-48.39333333,36.13,0,0
2201,Boreal,Forest,1420,122,2002,1,62.75,30.75,62.75 30.75,62.87,30.82,62.87 30.82,4166,145,Boreal,Natural,Evergreen Forest,Evergreen,2.508333333,724,IRGA,Equation,Mature,512,334,178,62.75 30.75,2.508333333,-0.239166667,53.51666667,-23.21333333,62.87,0,0
4049,Boreal,Forest,1920,122,2005,1,49.75,-74.25,49.75 -74.25,49.693,-74.432,49.693 -74.432,5392,1920,Boreal,Natural,Evergreen Forest,Evergreen,0,960,IRGA,Exclusion,Mature,710,540,170,49.75 -74.25,-0.316666667,-0.09,80.11666667,14.74666667,49.693,0,0
4,Boreal,Forest,23.1,64,2001.5,1.5,55.75,-98.25,55.75 -98.25,55.86,-98.48,55.86 -98.48,2534,23.1,Boreal,Natural,Mixed Forest,Mixed,0.8,450,IRGA,Exclusion,Aggrading,551,385,166,55.75 -98.25,-5.744444444,-3.278611111,33.66111111,-97.02666667,55.86,0,0
5990,Temperate,Forest,76,122,2008,1,31.75,102.75,31.75 102.75,31.78,102.7,31.78 102.7,9674,3215,Temperate,Unmanaged,Evergreen Forest,Evergreen,7.27,687.3,IRGA,Exclusion,Mature,1004,656,348,31.75 102.75,3.508333333,0.1625,57.125,-87.1,31.78,0,0
2802,Temperate,Grassland,145,88,2004,1,54.25,37.25,54.25 37.25,54.13,37.1,54.13 37.1,3921,145,Temperate,Unmanaged,Grassland,Deciduous,5.5,670,Gas Chromatography,Extraction,Aggrading,671,325,346,54.25 37.25,5.75,0.048888889,53.85833333,27.76666667,54.13,0,0
5992,Temperate,Forest,171,122,2008,1,31.75,102.75,31.75 102.75,31.78,102.7,31.78 102.7,9674,3135,Temperate,Unmanaged,Evergreen Forest,Evergreen,7.27,687.3,IRGA,Exclusion,Mature,952,607,345,31.75 102.75,3.508333333,0.1625,57.125,-87.1,31.78,0,0
1604,Temperate,Forest,610,121,1996,1,48.75,7.25,48.75 7.25,48.67,7.08,48.67 7.08,1602,300,Temperate,Unmanaged,Deciduous Forest,Deciduous,9.2,820,IRGA,Exclusion,Mature,575,230,345,48.75 7.25,8.658333333,-0.919166667,68.99166667,-23.64333333,48.67,0,0
73,Temperate,Forest,53,121,1997,1,48.75,7.25,48.75 7.25,48.67,7.08,48.67 7.08,1777,305,Temperate,Unmanaged,Deciduous Forest,Deciduous,9.2,820,IRGA,Exclusion,Aggrading,660,317,343,48.75 7.25,8.575,-1.0025,73.175,26.55666667,48.67,0,0
3137,Tropical,Forest,680,122,1990.5,2,5.25,-60.75,5.25 -60.75,5,-61,5 -61,889,680,Tropical,Natural,Evergreen Forest,Evergreen,20.7,2000,Gas Chromatography,Extraction,Aggrading,1219,775,444,5.25 -61.25,22.07916667,0.201388889,129.0541667,-275.2966667,5,0,0
3542,Temperate,Forest,910,122,2006,1,47.75,11.75,47.75 11.75,47.58055556,11.63916667,47.58055556 11.63916667,5114,910,Temperate,Natural,Evergreen Forest,Evergreen,5.7,1480,IRGA,Exclusion,Mature,914.34,571.4625,342.8775,47.75 11.75,7.375,-1.037222222,115.6666667,67.87333333,47.58055556,0,0
